alpha,half_life_years,mean_backtest_points
0.003,2.5,25.4296875
0.01,6.0,25.3515625
0.01,4.0,25.0390625
0.01,2.5,24.9609375
0.001,4.0,24.921875
0.0005,2.5,24.921875
0.001,2.5,24.8046875
0.003,6.0,24.765625
0.0005,6.0,24.6875
0.003,4.0,24.6484375
0.001,6.0,24.53125
0.0005,4.0,24.296875
