option,1A,1B,1D,1E,1G,1I,1K,1L,qualified_groups
118,C,I,B,D,H,F,L,K,BCDFHIKL
119,C,J,B,D,H,F,L,I,BCDFHIJL
120,C,J,B,D,H,F,I,K,BCDFHIJK
121,C,G,B,D,J,F,L,K,BCDFGJKL
122,C,G,B,D,I,F,L,K,BCDFGIKL
123,C,G,B,D,J,F,L,I,BCDFGIJL
124,C,G,B,D,J,F,I,K,BCDFGIJK
125,C,G,B,D,H,F,L,K,BCDFGHKL
126,C,G,B,D,H,F,L,J,BCDFGHJL
127,H,G,B,C,J,F,D,K,BCDFGHJK
128,C,G,B,D,H,F,L,I,BCDFGHIL
129,C,G,B,D,H,F,I,K,BCDFGHIK
130,H,G,B,C,J,F,D,I,BCDFGHIJ
131,E,J,B,C,I,D,L,K,BCDEIJKL
132,E,J,B,C,H,D,L,K,BCDEHJKL
133,E,I,B,C,H,D,L,K,BCDEHIKL
134,E,J,B,C,H,D,L,I,BCDEHIJL
135,E,J,B,C,H,D,I,K,BCDEHIJK
136,E,G,B,C,J,D,L,K,BCDEGJKL
137,E,G,B,C,I,D,L,K,BCDEGIKL
138,E,G,B,C,J,D,L,I,BCDEGIJL
139,E,G,B,C,J,D,I,K,BCDEGIJK
140,E,G,B,C,H,D,L,K,BCDEGHKL
141,H,G,B,C,J,D,L,E,BCDEGHJL
142,H,G,B,C,J,D,E,K,BCDEGHJK
143,E,G,B,C,H,D,L,I,BCDEGHIL
144,E,G,B,C,H,D,I,K,BCDEGHIK
145,H,G,B,C,J,D,E,I,BCDEGHIJ
146,C,J,B,D,E,F,L,K,BCDEFJKL
147,C,E,B,D,I,F,L,K,BCDEFIKL
148,C,J,B,D,E,F,L,I,BCDEFIJL
149,C,J,B,D,E,F,I,K,BCDEFIJK
150,C,E,B,D,H,F,L,K,BCDEFHKL
151,C,J,B,D,H,F,L,E,BCDEFHJL
152,C,J,B,D,H,F,E,K,BCDEFHJK
153,C,E,B,D,H,F,L,I,BCDEFHIL
154,C,E,B,D,H,F,I,K,BCDEFHIK
155,C,J,B,D,H,F,E,I,BCDEFHIJ
156,C,G,B,D,E,F,L,K,BCDEFGKL
157,C,G,B,D,J,F,L,E,BCDEFGJL
158,C,G,B,D,J,F,E,K,BCDEFGJK
159,C,G,B,D,E,F,L,I,BCDEFGIL
160,C,G,B,D,E,F,I,K,BCDEFGIK
161,C,G,B,D,J,F,E,I,BCDEFGIJ
162,C,G,B,D,H,F,L,E,BCDEFGHL
163,C,G,B,D,H,F,E,K,BCDEFGHK
164,H,G,B,C,J,F,D,E,BCDEFGHJ
165,C,G,B,D,H,F,E,I,BCDEFGHI
166,H,J,I,F,A,G,L,K,AFGHIJKL
167,E,J,I,A,H,G,L,K,AEGHIJKL
168,E,J,I,F,A,H,L,K,AEFHIJKL
169,E,J,I,F,A,G,L,K,AEFGIJKL
170,E,G,J,F,A,H,L,K,AEFGHJKL
171,E,G,I,F,A,H,L,K,AEFGHIKL
172,E,G,J,F,A,H,L,I,AEFGHIJL
173,E,G,J,F,A,H,I,K,AEFGHIJK
174,H,J,I,D,A,G,L,K,ADGHIJKL
175,H,J,I,D,A,F,L,K,ADFHIJKL
176,I,G,J,D,A,F,L,K,ADFGIJKL
177,H,G,J,D,A,F,L,K,ADFGHJKL
178,H,G,I,D,A,F,L,K,ADFGHIKL
179,H,G,J,D,A,F,L,I,ADFGHIJL
180,H,G,J,D,A,F,I,K,ADFGHIJK
181,E,J,I,D,A,H,L,K,ADEHIJKL
182,E,J,I,D,A,G,L,K,ADEGIJKL
183,E,G,J,D,A,H,L,K,ADEGHJKL
184,E,G,I,D,A,H,L,K,ADEGHIKL
185,E,G,J,D,A,H,L,I,ADEGHIJL
186,E,G,J,D,A,H,I,K,ADEGHIJK
187,E,J,I,D,A,F,L,K,ADEFIJKL
188,H,J,E,D,A,F,L,K,ADEFHJKL
189,H,E,I,D,A,F,L,K,ADEFHIKL
190,H,J,E,D,A,F,L,I,ADEFHIJL
191,H,J,E,D,A,F,I,K,ADEFHIJK
192,E,G,J,D,A,F,L,K,ADEFGJKL
193,E,G,I,D,A,F,L,K,ADEFGIKL
194,E,G,J,D,A,F,L,I,ADEFGIJL
195,E,G,J,D,A,F,I,K,ADEFGIJK
196,H,G,E,D,A,F,L,K,ADEFGHKL
197,H,G,J,D,A,F,L,E,ADEFGHJL
198,H,G,J,D,A,F,E,K,ADEFGHJK
199,H,G,E,D,A,F,L,I,ADEFGHIL
200,H,G,E,D,A,F,I,K,ADEFGHIK
201,H,G,J,D,A,F,E,I,ADEFGHIJ
202,H,J,I,C,A,G,L,K,ACGHIJKL
203,H,J,I,C,A,F,L,K,ACFHIJKL
204,I,G,J,C,A,F,L,K,ACFGIJKL
205,H,G,J,C,A,F,L,K,ACFGHJKL
206,H,G,I,C,A,F,L,K,ACFGHIKL
207,H,G,J,C,A,F,L,I,ACFGHIJL
208,H,G,J,C,A,F,I,K,ACFGHIJK
209,E,J,I,C,A,H,L,K,ACEHIJKL
210,E,J,I,C,A,G,L,K,ACEGIJKL
211,E,G,J,C,A,H,L,K,ACEGHJKL
212,E,G,I,C,A,H,L,K,ACEGHIKL
213,E,G,J,C,A,H,L,I,ACEGHIJL
214,E,G,J,C,A,H,I,K,ACEGHIJK
215,E,J,I,C,A,F,L,K,ACEFIJKL
216,H,J,E,C,A,F,L,K,ACEFHJKL
217,H,E,I,C,A,F,L,K,ACEFHIKL
218,H,J,E,C,A,F,L,I,ACEFHIJL
219,H,J,E,C,A,F,I,K,ACEFHIJK
220,E,G,J,C,A,F,L,K,ACEFGJKL
221,E,G,I,C,A,F,L,K,ACEFGIKL
222,E,G,J,C,A,F,L,I,ACEFGIJL
223,E,G,J,C,A,F,I,K,ACEFGIJK
224,H,G,E,C,A,F,L,K,ACEFGHKL
225,H,G,J,C,A,F,L,E,ACEFGHJL
226,H,G,J,C,A,F,E,K,ACEFGHJK
227,H,G,E,C,A,F,L,I,ACEFGHIL
228,H,G,E,C,A,F,I,K,ACEFGHIK
229,H,G,J,C,A,F,E,I,ACEFGHIJ
230,H,J,I,C,A,D,L,K,ACDHIJKL
231,I,G,J,C,A,D,L,K,ACDGIJKL
232,H,G,J,C,A,D,L,K,ACDGHJKL
233,H,G,I,C,A,D,L,K,ACDGHIKL
234,H,G,J,C,A,D,L,I,ACDGHIJL
235,H,G,J,C,A,D,I,K,ACDGHIJK
236,C,J,I,D,A,F,L,K,ACDFIJKL
237,H,J,F,C,A,D,L,K,ACDFHJKL
238,H,F,I,C,A,D,L,K,ACDFHIKL
239,H,J,F,C,A,D,L,I,ACDFHIJL
240,H,J,F,C,A,D,I,K,ACDFHIJK
241,C,G,J,D,A,F,L,K,ACDFGJKL
242,C,G,I,D,A,F,L,K,ACDFGIKL
243,C,G,J,D,A,F,L,I,ACDFGIJL
244,C,G,J,D,A,F,I,K,ACDFGIJK
245,H,G,F,C,A,D,L,K,ACDFGHKL
246,C,G,J,D,A,F,L,H,ACDFGHJL
247,H,G,J,C,A,F,D,K,ACDFGHJK
248,H,G,F,C,A,D,L,I,ACDFGHIL
249,H,G,F,C,A,D,I,K,ACDFGHIK
250,H,G,J,C,A,F,D,I,ACDFGHIJ
251,E,J,I,C,A,D,L,K,ACDEIJKL
252,H,J,E,C,A,D,L,K,ACDEHJKL
253,H,E,I,C,A,D,L,K,ACDEHIKL
254,H,J,E,C,A,D,L,I,ACDEHIJL
255,H,J,E,C,A,D,I,K,ACDEHIJK
256,E,G,J,C,A,D,L,K,ACDEGJKL
257,E,G,I,C,A,D,L,K,ACDEGIKL
258,E,G,J,C,A,D,L,I,ACDEGIJL
259,E,G,J,C,A,D,I,K,ACDEGIJK
260,H,G,E,C,A,D,L,K,ACDEGHKL
261,H,G,J,C,A,D,L,E,ACDEGHJL
262,H,G,J,C,A,D,E,K,ACDEGHJK
263,H,G,E,C,A,D,L,I,ACDEGHIL
264,H,G,E,C,A,D,I,K,ACDEGHIK
265,H,G,J,C,A,D,E,I,ACDEGHIJ
266,C,J,E,D,A,F,L,K,ACDEFJKL
267,C,E,I,D,A,F,L,K,ACDEFIKL
268,C,J,E,D,A,F,L,I,ACDEFIJL
269,C,J,E,D,A,F,I,K,ACDEFIJK
270,H,E,F,C,A,D,L,K,ACDEFHKL
271,H,J,F,C,A,D,L,E,ACDEFHJL
272,H,J,E,C,A,F,D,K,ACDEFHJK
273,H,E,F,C,A,D,L,I,ACDEFHIL
274,H,E,F,C,A,D,I,K,ACDEFHIK
275,H,J,E,C,A,F,D,I,ACDEFHIJ
276,C,G,E,D,A,F,L,K,ACDEFGKL
277,C,G,J,D,A,F,L,E,ACDEFGJL
278,C,G,J,D,A,F,E,K,ACDEFGJK
279,C,G,E,D,A,F,L,I,ACDEFGIL
280,C,G,E,D,A,F,I,K,ACDEFGIK
281,C,G,J,D,A,F,E,I,ACDEFGIJ
282,H,G,F,C,A,D,L,E,ACDEFGHL
283,H,G,E,C,A,F,D,K,ACDEFGHK
284,H,G,J,C,A,F,D,E,ACDEFGHJ
285,H,G,E,C,A,F,D,I,ACDEFGHI
286,H,J,B,A,I,G,L,K,ABGHIJKL
287,H,J,B,A,I,F,L,K,ABFHIJKL
288,I,J,B,F,A,G,L,K,ABFGIJKL
289,H,J,B,F,A,G,L,K,ABFGHJKL
290,H,G,B,A,I,F,L,K,ABFGHIKL
291,H,J,B,F,A,G,L,I,ABFGHIJL
292,H,J,B,F,A,G,I,K,ABFGHIJK
293,E,J,B,A,I,H,L,K,ABEHIJKL
294,E,J,B,A,I,G,L,K,ABEGIJKL
295,E,J,B,A,H,G,L,K,ABEGHJKL
296,E,G,B,A,I,H,L,K,ABEGHIKL
297,E,J,B,A,H,G,L,I,ABEGHIJL
298,E,J,B,A,H,G,I,K,ABEGHIJK
299,E,J,B,A,I,F,L,K,ABEFIJKL
300,E,J,B,F,A,H,L,K,ABEFHJKL
301,E,I,B,F,A,H,L,K,ABEFHIKL
302,E,J,B,F,A,H,L,I,ABEFHIJL
303,E,J,B,F,A,H,I,K,ABEFHIJK
304,E,J,B,F,A,G,L,K,ABEFGJKL
305,E,G,B,A,I,F,L,K,ABEFGIKL
306,E,J,B,F,A,G,L,I,ABEFGIJL
307,E,J,B,F,A,G,I,K,ABEFGIJK
308,E,G,B,F,A,H,L,K,ABEFGHKL
309,H,J,B,F,A,G,L,E,ABEFGHJL
310,H,J,B,F,A,G,E,K,ABEFGHJK
311,E,G,B,F,A,H,L,I,ABEFGHIL
312,E,G,B,F,A,H,I,K,ABEFGHIK
313,H,J,B,F,A,G,E,I,ABEFGHIJ
314,I,J,B,D,A,H,L,K,ABDHIJKL
315,I,J,B,D,A,G,L,K,ABDGIJKL
316,H,J,B,D,A,G,L,K,ABDGHJKL
317,I,G,B,D,A,H,L,K,ABDGHIKL
318,H,J,B,D,A,G,L,I,ABDGHIJL
319,H,J,B,D,A,G,I,K,ABDGHIJK
320,I,J,B,D,A,F,L,K,ABDFIJKL
321,H,J,B,D,A,F,L,K,ABDFHJKL
322,H,I,B,D,A,F,L,K,ABDFHIKL
323,H,J,B,D,A,F,L,I,ABDFHIJL
324,H,J,B,D,A,F,I,K,ABDFHIJK
325,F,J,B,D,A,G,L,K,ABDFGJKL
326,I,G,B,D,A,F,L,K,ABDFGIKL
327,F,J,B,D,A,G,L,I,ABDFGIJL
328,F,J,B,D,A,G,I,K,ABDFGIJK
329,H,G,B,D,A,F,L,K,ABDFGHKL
330,H,G,B,D,A,F,L,J,ABDFGHJL
331,H,G,B,D,A,F,J,K,ABDFGHJK
